,Magnitude,lat,long,depth (km)
"M 1.7 - 6km ENE of Brea, CA",1.67,-117.8423333,33.9411667,11.363
"M 1.3 - 5km NNW of Westwood, CA",1.27,-118.4576667,34.0921667,6.523
"M 0.6 - 11km SW of Niland, CA",0.56,-115.6156667,33.1808333,0.343
"M 1.3 - 7km NE of Glendora, CA",1.28,-117.8085,34.1731667,13.762
"M 0.7 - 22km ESE of Anza, CA",0.7,-116.451,33.5005,9.737
"M 1.1 - 22km ESE of Anza, CA",1.1,-116.4485,33.4965,9.287
"M 1.5 - 2km S of El Centro, CA",1.5,-115.5535,32.7671667,15.438
"M 0.6 - 9km S of Idyllwild, CA",0.64,-116.7211667,33.662,14.909
"M 0.5 - 9km S of Idyllwild, CA",0.52,-116.7218333,33.659,14.369
"M 0.8 - 12km N of Borrego Springs, CA",0.84,-116.3528333,33.3598333,9.472
"M 0.8 - 9km SSE of Idyllwild, CA",0.83,-116.6731667,33.6646667,15.34
"M 1.1 - 14km NE of Yucaipa, CA",1.1,-116.9205,34.1115,8.368
"M 1.3 - 15km S of Bombay Beach, CA",1.34,-115.7055,33.2145,4.343
"M 1.5 - 10km WSW of Niland, CA",1.54,-115.614,33.194,1.953
"M 0.9 - 13km SE of Anza, CA",0.91,-116.5901667,33.4588333,9.701
"M 0.8 - 9km WSW of Salton City, CA",0.79,-116.0483333,33.2823333,6.432
"M 0.6 - 14km SE of Anza, CA",0.56,-116.5783333,33.4623333,10.109
"M 0.8 - 12km SE of Anza, CA",0.77,-116.568,33.4845,8.189
"M 0.9 - 6km SSE of Palomar Observatory, CA",0.92,-116.8423333,33.3085,13.876
"M 1.2 - 10km N of Big Bear City, CA",1.16,-116.845,34.3476667,3.938
"M 0.3 - 13km SE of Anza, CA",0.26,-116.5645,33.4858333,7.729
"M 1.6 - 21km SE of Ocotillo, CA",1.63,-115.8121667,32.6196667,4.213
"M 1.4 - 8km WSW of Calimesa, CA",1.37,-117.1301667,33.9576667,14.635
"M 1.5 - 6km ENE of Simi Valley, CA",1.46,-118.6825,34.293,8.926
"M 1.6 - 1km NW of Colton, CA",1.61,-117.3211667,34.0815,16.587
"M 0.8 - 17km ESE of Anza, CA",0.75,-116.4975,33.51,13.924
"M 0.7 - 17km ESE of Anza, CA",0.72,-116.4953333,33.5161667,14.874
"M 0.7 - 17km ESE of Anza, CA",0.67,-116.493,33.5141667,13.645
"M 0.5 - 18km ESE of Anza, CA",0.48,-116.4896667,33.514,13.755
"M 1.8 - 7km WNW of Chatsworth, CA",1.78,-118.667,34.2885,10.147
"M 1.2 - 6km ENE of Simi Valley, CA",1.2,-118.6713333,34.2836667,9.686
"M 0.6 - 17km ESE of Anza, CA",0.64,-116.4978333,33.519,13.524
"M 2.5 - 6km ENE of Simi Valley, CA",2.49,-118.6818333,34.2943333,11.513
"M 2.1 - 6km ENE of Simi Valley, CA",2.13,-118.6816667,34.2948333,8.923
"M 1.7 - 4km NE of Simi Valley, CA",1.66,-118.7018333,34.2921667,13.313
"M 2.2 - 16km SSE of Big Bear Lake, CA",2.19,-116.8348333,34.1158333,7.399
"M 0.5 - 12km SE of Anza, CA",0.45,-116.5676667,33.4895,8.229
"M 2.6 - 11km N of Borrego Springs, CA",2.57,-116.3661667,33.3543333,11.136
"M 0.7 - 17km ESE of Anza, CA",0.67,-116.4978333,33.5193333,13.254
"M 1.3 - 6km SE of Big Bear City, CA",1.28,-116.7943333,34.2328333,6.233
"M 1.1 - 29km N of Yucca Valley, CA",1.12,-116.4883333,34.3688333,13.578
"M 1.8 - 3km WSW of Devore, CA",1.84,-117.4291667,34.2115,12.348
"M 2.1 - 4km S of Malibu, CA",2.12,-118.8171667,33.9713333,4.066
"M 1.1 - 17km ESE of Anza, CA",1.14,-116.4958333,33.5108333,13.044
"M 0.4 - 20km ESE of Anza, CA",0.44,-116.4696667,33.4943333,12.275
"M 0.4 - 8km S of Idyllwild, CA",0.42,-116.718,33.6715,14.077
"M 0.4 - 8km WSW of Niland, CA",0.4,-115.5996667,33.2085,7.013
"M 2.2 - 7km ENE of Simi Valley, CA",2.24,-118.6731667,34.293,9.903
"M 1.9 - 5km ENE of Simi Valley, CA",1.86,-118.6923333,34.2843333,20.692
"M 0.7 - 16km SSW of Oasis, CA",0.71,-116.1628333,33.3343333,5.384
"M 2.1 - 42km ESE of Avalon, CA",2.08,-117.9561667,33.1346667,5.853
"M 1.2 - 21km N of Yucca Valley, CA",1.23,-116.454,34.3005,9.262
"M 0.5 - 15km SSW of Idyllwild, CA",0.47,-116.8051667,33.6305,13.302
"M 0.4 - 10km N of Anza, CA",0.36,-116.6846667,33.6413333,13.457
"M 0.5 - 21km ESE of Anza, CA",0.48,-116.453,33.5181667,8.715
"M 1.2 - 9km WSW of Wrightwood, CA",1.24,-117.7275,34.3271667,7.145
"M 2.2 - 6km SW of Idyllwild, CA",2.17,-116.7713333,33.706,14.538
"M 1.1 - 3km NE of Westmorland, CA",1.05,-115.6001667,33.0598333,15.639
"M 0.4 - 10km SSW of Cabazon, CA",0.39,-116.8148333,33.8331667,12.139
"M 0.5 - 7km NE of Anza, CA",0.48,-116.61,33.5906667,13.252
"M 0.8 - 5km WSW of Idyllwild, CA",0.79,-116.7638333,33.7206667,15.942
